city,state,longitude,latitude
ALBION,WA,46.9344,-117.412
ALBORN,MN,47.0149,-92.6123
ALBRIGHT,WV,39.5164,-79.6177
ALBRIGHTSVILLE,PA,41.0126,-75.5608
ALBUQUERQUE,NM,35.0813,-106.627
ALBURG,VT,44.9361,-73.2891
ALBURNETT,IA,42.1571,-91.6458
ALBURTIS,PA,40.5145,-75.6029
ALCALDE,NM,36.0647,-106.078
ALCESTER,SD,42.9317,-96.6243
ALCO,AR,35.919,-92.1272
ALCOA,TN,35.8158,-83.9877
ALCOLU,SC,33.6852,-80.1907
ALCOVA,WY,42.5302,-106.76
ALCOVE,NY,42.4825,-73.9367
ALDA,NE,40.8607,-98.5048
ALDEN,IA,42.431,-93.3906
ALDEN,IL,42.3248,-88.4525
ALDEN,KS,38.2333,-98.3165
ALDEN,MI,44.9006,-85.2329
ALDEN,MN,43.7335,-93.5321
ALDEN,NY,42.8729,-78.5284
ALDENVILLE,PA,41.616,-75.2747
ALDER,MT,45.1939,-112.057
ALDER CREEK,NY,43.4196,-75.2248
ALDERPOINT,CA,40.1305,-123.602
ALDERSON,OK,34.9045,-95.6981
ALDERSON,WV,37.8439,-80.5724
ALDIE,VA,38.9577,-77.6038
ALDRICH,MN,46.3797,-94.9364
ALDRICH,MO,37.5348,-93.5432
ALEDO,IL,41.1978,-90.7309
ALEDO,TX,32.6819,-97.7795
ALEKNAGIK,AK,58.9621,-163.119
ALEPPO,PA,39.8706,-80.2113
ALEX,OK,34.9148,-97.7812
ALEXANDER,AR,34.6945,-92.4251
ALEXANDER,IA,42.8198,-93.4294
ALEXANDER,IL,39.7517,-90.0458
ALEXANDER,KS,38.4701,-99.5532
ALEXANDER,NC,35.628,-82.5567
ALEXANDER,ND,47.7374,-103.298
ALEXANDER,NY,42.9176,-78.2649
ALEXANDER CITY,AL,32.9297,-85.9476
ALEXANDRIA,AL,33.7809,-85.9045
ALEXANDRIA,IN,40.2132,-85.6807
ALEXANDRIA,KY,38.9216,-84.3746
ALEXANDRIA,LA,31.2927,-92.4666
ALEXANDRIA,MN,45.902,-95.4206
ALEXANDRIA,MO,40.3576,-91.4589
ALEXANDRIA,NE,40.2441,-97.3866
ALEXANDRIA,OH,40.1005,-82.6124
ALEXANDRIA,PA,40.5485,-78.0951
ALEXANDRIA,SD,43.6684,-97.7563
ALEXANDRIA,TN,36.0345,-85.9971
ALEXANDRIA,VA,38.8273,-77.0879
ALEXANDRIA BAY,NY,44.0746,-75.8407
ALEXIS,IL,41.137,-90.6312
ALEXIS,NC,35.3653,-81.088
ALFORD,FL,30.6412,-85.3756
ALFRED,ME,43.4672,-70.739
ALFRED,NY,42.2405,-77.7832
ALFRED STATION,NY,42.2541,-77.7993
ALGER,MI,44.3244,-84.1624
ALGER,OH,40.6792,-83.7956
ALGODONES,NM,35.3378,-106.393
ALGOMA,MS,34.1715,-89.0328
ALGOMA,WI,44.596,-87.5403
ALGONA,IA,43.1093,-94.167
ALGONAC,MI,42.615,-82.5978
ALGONQUIN,IL,42.2807,-88.4619
ALHAMBRA,CA,34.0916,-118.135
ALHAMBRA,IL,38.8821,-89.7394
ALICE,TX,27.7509,-98.0647
ALICEVILLE,AL,33.237,-88.0615
ALICIA,AR,35.9521,-91.0301
ALIEF,TX,29.834,-95.4342
ALINE,OK,36.5118,-98.4499
ALIQUIPPA,PA,40.6752,-80.3042
ALISO VIEJO,CA,33.5716,-117.735
ALIX,AR,35.4336,-93.7526
ALKOL,WV,38.1671,-81.9689
ALLAKAKET,AK,65.2264,-151.025
ALLAMUCHY,NJ,40.8696,-74.8497
ALLARDT,TN,36.3818,-84.7756
ALLEDONIA,OH,39.8949,-80.9801
ALLEENE,AR,33.7781,-94.2702
ALLEGAN,MI,42.5393,-85.8949
ALLEGANY,NY,42.1162,-78.5162
ALLEGANY,OR,43.2469,-124.231
ALLEGHANY,CA,39.4663,-120.83
ALLEGRE,KY,36.9292,-87.2193
